tempat,tarikhMula,tarikhTamat,Tahun,Negeri
Sg. Marong,17/12,21/12,2006,Johor
Sg. Kelantan,22/12/1/07,22/12/1/07,2006,Terengganu
Sg. Galas,21/12,22/12,2006,Terengganu
Sg. Ketil,21/12,21/12,2006,Terengganu
Sg. Chindai,21/12,21/12,2006,Terengganu
Sg. Kerak,21/12,22/12,2006,Terengganu
Sg. Chiku,21/12,21/12,2006,Terengganu
Sg. Lebir,21/12,22/12,2006,Terengganu
Sg. Kepat,22/12/1/07,22/12/1/07,2006,Terengganu
Sg. Jegor,22/12/1/07,22/12/1/07,2006,Terengganu
Sg. Kusial,22/12/1/07,22/12/1/07,2006,Terengganu
Sg. Golok,21/12/1/07,21/12/1/07,2006,Terengganu
Sg. Kajang,21/12/1/07,21/12/1/07,2006,Terengganu
Sg. Tanah Merah,21/12/1/07,21/12/1/07,2006,Terengganu
Sg. Jedok,21/12/1/07,21/12/1/07,2006,Terengganu
Sg. Rengas,21/12,24/12,2006,Terengganu
Sg. Tasik Garu,21/12,24/12,2006,Terengganu
Sg. Meranti,21/12,24/12,2006,Terengganu
Sg. Sepagaya,2/10,2/10,2006,Sabah
Sg. Segama,11/2,11/2,2006,Sabah
Sg. Kinabatangan,2/1,3/3,2006,Sabah
Sg. Gana,26/6,26/6,2006,Sabah
Sg. Bandau,7/2,9/2,2006,Sabah
Sg. Rampai,26/12,28/12,2006,Sabah
Sg. Tempasuk,25/6,25/6,2006,Sabah
Sg. Tuaran,26/6,26/6,2006,Sabah
Sg. Moyog,26/6,26/6,2006,Sabah
Sg. Kibabaig,26/6,26/6,2006,Sabah
Sg. Kolopis,26/6,26/6,2006,Sabah
Sg. Maang,26/6,26/6,2006,Sabah
Sg. Papar,26/6,26/6,2006,Sabah
Sg. Kinarut,26/6,26/6,2006,Sabah
Sg. Kimanis,26/6,26/6,2006,Sabah
Sg. Bongawan,26/6,26/6,2006,Sabah
Sg. Membakut,25/6,27/6,2006,Sabah
Sg. Padas,25/6,29/6,2006,Sabah
Sg. Pandawan,26/6,26/6,2006,Sabah
Sg. Sarawak Kanan,23/2,23/2,2006,Sarawak
Sg. Sarawak Kanan,18/9,18/9,2006,Sarawak
Sg. Sarawak Kanan,20/12,20/12,2006,Sarawak
Sg. Sarawak Kanan,27/12,27/12,2006,Sarawak
Sg. Sarawak Kanan,30/12,30/12,2006,Sarawak
Sg. Pendang,16/9,20/9,2007,Kedah
Sg. Pendang,2/10,7/10,2007,Kedah
Sg. Pdg. Kerbau,16/9,20/9,2007,Kedah
Sg. Pdg. Kerbau,2/10,7/10,2007,Kedah
Sg. Bata,15/10,15/10,2007,Kedah
Sg. Bata,17/12,21/12,2007,Kedah
Sg. Pering,15/10,15/10,2007,Kedah
Sg. Pering,17/12,21/12,2007,Kedah
Sg. Badak,17/12,21/12,2007,Kedah
Sg. Laka,17/12,21/12,2007,Kedah
Sg. Gurun,14/9,18/9,2007,Kedah
Sg. Udang,14/9,18/9,2007,Kedah
Sg. Merbok,7/9,7/9,2007,Kedah
Sg. Tebuan,22/7,22/7,2007,Kedah
Sg. Muda,7/9,8/9,2007,Kedah
Sg. Muda,18/9,18/9,2007,Kedah
Sg. Muda,17/12,17/12,2007,Kedah
Sg. Muda,20/12,20/12,2007,Kedah
Sg. Langkawi,7/9,7/9,2007,Kedah
Sg. Langkawi,16/9,16/9,2007,Kedah
Sg. Langkawi,30/9,30/9,2007,Kedah
Sg. Derhaka Juru,16/4,16/4,2007,PulauPinang
Sg. Kulim,22/7,22/7,2007,PulauPinang
Sg. Kilang Ubi,27/7,27/7,2007,PulauPinang
Sg. Permatang Rawa,16/4,16/4,2007,PulauPinang
Sg. Permatang Rawa,9/7,9/7,2007,PulauPinang
Sg. Permatang Rawa,27/7,27/7,2007,PulauPinang
Sg. Permatang Rawa,16/9,16/9,2007,PulauPinang
Sg. Permatang Rawa,22/10,22/10,2007,PulauPinang
Sg. Permatang Ara,9/7,9/7,2007,PulauPinang
Sg. Permatang Ara,27/7,27/7,2007,PulauPinang
Sg. Permatang Ara,16/9,16/9,2007,PulauPinang
Sg. Permatang Ara,22/10,22/10,2007,PulauPinang
Sg. Junjung,23/2,23/2,2007,PulauPinang
Sg. Junjung,16/4,16/4,2007,PulauPinang
Sg. Junjung,23/7,23/7,2007,PulauPinang
Sg. Junjung,27/7,27/7,2007,PulauPinang
Sg. Macang Bubok,16/4,16/4,2007,PulauPinang
Sg. Macang Bubok,9/7,9/7,2007,PulauPinang
Sg. Macang Bubok,27/7,27/7,2007,PulauPinang
Sg. Bukit Teh,16/4,16/4,2007,PulauPinang
Sg. Bukit Teh,9/7,9/7,2007,PulauPinang
Sg. Bukit Teh,27/7,27/7,2007,PulauPinang
Sg. Pinang,18/10,18/10,2007,PulauPinang
Sg. Jelutong,18/10,18/10,2007,PulauPinang
Pt. Konkrit,20/10,20/10,2007,PulauPinang
Sg. Bayan Lepas,22/10,22/10,2007,PulauPinang
Sg. Relau,22/10,22/10,2007,PulauPinang
Sg. Rantin,15/8,16/8,2007,Perak
Sg. Rantin,22/12,23/12,2007,Perak
Sg. Larut,1/6,1/6,2007,Perak
Sg. Larut,15/8,16/8,2007,Perak
Sg. Bukit Gantang / Sg. Senduk,4/3,4/3,2007,Perak
Sg. Jaha / Sg. Bukit Gantang,23/12,23/12,2007,Perak
Sg. Batu Tugoh,15/8,15/8,2007,Perak
Sg. Lang,6/3,6/3,2007,Perak
Sg. Beruas,24/7,27/7,2007,Perak
Sg. Perak / Sg. Bidor / Sg. Sungkai / Sg. Chikus / Sg. Manik / Sg. Lampam / Sg. Batang Padang,25/12,25/12,2007,Perak
Sg. Siput Chandan,16/10,16/10,2007,Perak
Sg. Kangsar,20/11,20/11,2007,Perak
Sg. Chempias,20/11,20/11,2007,Perak
Sg. Papan,20/11,21/11,2007,Perak
Sg. Pelus,9/4,9/4,2007,Perak
Sg. Pelus,11/4,11/4,2007,Perak
Sg. Pelus,27/7,27/7,2007,Perak
Sg. Pelus,9/8,9/8,2007,Perak
Sg. Kerdah,9/8,9/8,2007,Perak
Sg. Temelong,19/5,19/5,2007,Perak
Sg. Temelong,9/7,9/7,2007,Perak
Sg. Keneriang,30/9,30/9,2007,Perak
Sg. Keneriang,21/10,21/10,2007,Perak
Sg. Nerok,30/9,30/9,2007,Perak
Sg. Kenderong,11/6,11/6,2007,Perak
Sg. Hangai,11/6,11/6,2007,Perak
Sg. Air Tawar,11/6,11/6,2007,Perak
Sg. Pinji,15/4,16/4,2007,Perak
Sg. Pinji,18/4,18/4,2007,Perak
Sg. Pinji,30/6,30/6,2007,Perak
Sg. Pinji,3/7,3/7,2007,Perak
Sg. Pinji,20/11,20/11,2007,Perak
Sg. Pari,6/3,6/3,2007,Perak
Sg. Slim,20/11,20/11,2007,Selangor
Sg. Serendah,10/6,10/6,2007,Selangor
Sg. Selangor,23/1,23/1,2007,Selangor
Sg. Kuang,10/6,10/6,2007,Selangor
Sg. Buloh,21/1,21/1,2007,Selangor
Sg. Buloh,14/6,14/6,2007,Selangor
Sg. Kuyoh,18/2,18/2,2007,Selangor
Sg. Damansara,21/3,21/3,2007,Selangor
Sg. Damansara,10/6,10/6,2007,Selangor
Sg. Damansara,13/10,13/10,2007,Selangor
Sg. Klang,21/3,21/3,2007,Selangor
Sg. Klang,23/3,23/3,2007,Selangor
Sg. Ampang,10/6,10/6,2007,Selangor
Sg. Batu,3/3,3/3,2007,Selangor
Sg. Batu,20/10,20/10,2007,Selangor
Sg. Pusu,26/9,26/9,2007,Selangor
Sg. Labu,9/6,9/6,2007,Selangor
Sg. Labu,10/9,10/9,2007,Selangor
Sg. Langat,19/2,19/2,2007,Selangor
Sg. Langat,27/4,27/4,2007,Selangor
Sg. Langat,2/6,2/6,2007,Selangor
Sg. Langat,10/6,10/6,2007,Selangor
Sg. Langat,3/9,3/9,2007,Selangor
Sg. Langat,7/10,7/10,2007,Selangor
Sg. Langat,22/10,22/10,2007,Selangor
Sg. Langat,9/11,9/11,2007,Selangor
Sg. Pelek,1/4,1/4,2007,Selangor
Sg. Klang,21/3,21/3,2007,KualaLumpur
Sg. Klang,23/3,23/3,2007,KualaLumpur
Sg. Klang,3/6,3/6,2007,KualaLumpur
Sg. Klang,10/6,10/6,2007,KualaLumpur
Sg. Ampang,10/6,10/6,2007,KualaLumpur
Sg. Kerayong,2/6,2/6,2007,KualaLumpur
Sg. Batu,3/3,3/3,2007,KualaLumpur
Sg. Batu,20/10,20/10,2007,KualaLumpur
Sg. Sirusa,30/7,30/7,2007,NegeriSembilan
Sg. Sirusa,4/9,4/9,2007,NegeriSembilan
Sg. Pak Mail,4/9,4/9,2007,NegeriSembilan
Sg. Puting,4/9,4/9,2007,NegeriSembilan
Pt. Bakar Arang,4/9,4/9,2007,NegeriSembilan
Sg. Linggi,25/2,25/2,2007,NegeriSembilan
Sg. Linggi,30/7,30/7,2007,NegeriSembilan
Sg. Linggi,4/9,4/9,2007,NegeriSembilan
Sg. Paroi,28/11,28/11,2007,NegeriSembilan
Sg. Tanah Merah,30/7,30/7,2007,NegeriSembilan
Sg. Jimah,30/7,30/7,2007,NegeriSembilan
Sg. Jimah,4/9,4/9,2007,NegeriSembilan
Sg. Menyala,30/7,30/7,2007,NegeriSembilan
Sg. Menyala,4/9,4/9,2007,NegeriSembilan
Sg. Saguni,30/7,30/7,2007,NegeriSembilan
Sg. Saguni,4/9,4/9,2007,NegeriSembilan
Sg. Raya,30/7,30/7,2007,NegeriSembilan
Sg. Raya,4/9,4/9,2007,NegeriSembilan
Sg. Linggi,30/7,30/7,2007,NegeriSembilan
Sg. Linggi,4/9,4/9,2007,NegeriSembilan
Pt. Rancangan Saliran Chuah,4/9,4/9,2007,NegeriSembilan
Sg. Bukit Lintang,4/9,4/9,2007,NegeriSembilan
Sg. Rembau,4/9,4/9,2007,NegeriSembilan
Sg. Pedas,4/9,4/9,2007,NegeriSembilan
Sg. Melaka,9/5,9/5,2007,Melaka
Sg. Air Salak,8/9,8/9,2007,Melaka
Sg. Tangkak,11/1,15/1,2007,Melaka
Sg. Gersik,11/1,15/1,2007,Melaka
Sg. Kesang,11/1,15/1,2007,Melaka
Sg. Muar,11/1,15/1,2007,Johor
Sg. Muar,11/12,12/12,2007,Johor
Sg. Segamat,11/1,15/1,2007,Johor
Sg. Serom,11/1,15/1,2007,Johor
Sg. Lenga,11/1,15/1,2007,Johor
Sg. Bukit Serampang,11/1,15/1,2007,Johor
Sg. Air Hitam,11/1,15/1,2007,Johor
Sg. Kundang,11/1,15/1,2007,Johor
Sg. Terap / Sg. Raya,11/1,15/1,2007,Johor
Sg. Juasseh,11/1,15/1,2007,Johor
Sg. Labis,11/1,15/1,2007,Johor
Sg. Tenang,11/1,15/1,2007,Johor
Sg. Kapeh,11/1,15/1,2007,Johor
Sg. Chodan,11/1,15/1,2007,Johor
Sg. Jementah,11/1,15/1,2007,Johor
Sg. Jenalim,11/1,15/1,2007,Johor
Sg. Merlimau,11/1,15/1,2007,Johor
Anak Air Ponting,20/1,20/1,2007,Johor
Sg. Jelai,20/1,20/1,2007,Johor
Anak Air Ulu Bendul,9/3,9/3,2007,Johor
Sg. Batang Pilah,26/4,26/4,2007,Johor
Sg. Gemas,11/12,12/12,2007,Johor
Sg. Batu Pahat / Sg. Simpang Kiri,11/1,15/1,2007,Johor
Sg. Batu Pahat / Sg. Bekok,11/1,15/1,2007,Johor
Sg. Batu Pahat / Sg. Sembrong,11/1,15/1,2007,Johor
Sg. Batu Pahat / Sg. Simpang Kanan,11/1,15/1,2007,Johor
Sg. Senggarang,11/1,15/1,2007,Johor
Sg. Lenek,11/1,15/1,2007,Johor
Sg. Bangka,11/1,15/1,2007,Johor
Sg. Chaah,11/1,15/1,2007,Johor
Sg. Bekok,11/1,15/1,2007,Johor
Sg. Benut,11/1,15/1,2007,Johor
Sg. Berumbung,11/1,15/1,2007,Johor
Pt. Hj. Hashim,11/1,15/1,2007,Johor
Sg. Tampok,11/1,15/1,2007,Johor
Sg. Sanglang,11/1,15/1,2007,Johor
Sg. Ayer Baloi,11/1,15/1,2007,Johor
Sg. Pontian Kecil,11/1,15/1,2007,Johor
Sg. Pontian Besar,11/1,15/1,2007,Johor
Sg. Air Hitam,11/1,15/1,2007,Johor
Sg. Rambah,11/1,15/1,2007,Johor
Sg. Pulai / Sg. Ulu Pulai/ Sg. Choh,11/1,15/1,2007,Johor
Sg. Skudai,11/1,15/1,2007,Johor
Sg. Tebrau,11/1,15/1,2007,Johor
Sg. Plentong,11/1,15/1,2007,Johor
Sg. Sayong,11/1,15/1,2007,Johor
Sg. Johor,11/1,15/1,2007,Johor
Sg. Tiram,11/1,15/1,2007,Johor
Sg. Pok Kecil,11/1,15/1,2007,Johor
Sg. Kempas,11/1,15/1,2007,Johor
Sg. Tenglu  Besar,11/1,15/1,2007,Johor
Sg. Endau,11/1,15/1,2007,Johor
Sg. Lenggor,11/1,15/1,2007,Johor
Sg. Melantai,11/1,15/1,2007,Johor
Sg. Sembrong Kecil,11/1,15/1,2007,Johor
Sg. Mengkibol,11/1,15/1,2007,Johor
Sg. Kahang,11/1,15/1,2007,Johor
Sg. Marong,11/1,15/1,2007,Johor
Sg. Anak Endau,7/12,22/12,2007,Johor
Sg. Pontian,7/12,22/12,2007,Pahang
Sg. Keratong,7/12,22/12,2007,Pahang
Sg. Rompin,7/12,22/12,2007,Pahang
Sg. Sawak,7/12,22/12,2007,Pahang
Sg. Pukin,7/12,22/12,2007,Pahang
Sg. Serting,29/3,29/3,2007,Pahang
Sg. Serting,11/12,13/12,2007,Pahang
Sg. Triang,12/11,12/11,2007,Pahang
Sg. Jerang,12/11,12/11,2007,Pahang
Sg. Kenaboi,12/11,12/11,2007,Pahang
Sg. Pertang,12/11,12/11,2007,Pahang
Sg. Ulu Jelebu,12/11,12/11,2007,Pahang
Sg. Gelami Lemi,12/11,12/11,2007,Pahang
Sg. Chempedak,12/11,12/11,2007,Pahang
Sg. KeNo.r,7/1,9/1,2007,Terengganu
Sg. Pergau,1/7,1/7,2007,Terengganu
Sg. Sat,1/7,1/7,2007,Terengganu
Sg. Bakar,1/7,1/7,2007,Terengganu
Sg. Panyit,1/7,1/7,2007,Terengganu
Sg. Pek,1/7,1/7,2007,Terengganu
Sg. Suda,1/7,1/7,2007,Terengganu
Sg. Kweng Hitam,1/7,1/7,2007,Terengganu
Sg. Kelantan,7/1,10/1,2007,Terengganu
Sg. Golok,7/1,10/1,2007,Terengganu
Sg. Merotai Besar,30/7,30/7,2007,Sabah
Sg. Tawau,30/7,30/7,2007,Sabah
Sg. Kinabutan Besar,30/7,30/7,2007,Sabah
Sg. Bengkoka,3/1,15/1,2007,Sabah
Sg. Tandek,26/12,26/12,2007,Sabah
Sg. Tandek,29/12,29/12,2007,Sabah
Sg. Bongon,1/1,9/1,2007,Sabah
Sg. Bongon,10/1,10/1,2007,Sabah
Sg. Bongon,13/1,13/1,2007,Sabah
Sg. Bandau,3/1,3/1,2007,Sabah
Sg. Bandau,5/1,5/1,2007,Sabah
Sg. Bandau,7/1,7/1,2007,Sabah
Sg. Bandau,8/1,8/1,2007,Sabah
Sg. Bandau,10/1,10/1,2007,Sabah
Sg. Tempasuk,2/5,3/5,5/5,13/6
Sg. Padas,4/1,8/1,2007,Sabah
Sg. Padas,12/1,17/1,2007,Sabah
Sg. Padas,21/3,23/3,2007,Sabah
Btg. Lawas,28/1,28/1,2007,Sarawak
Btg. Terusan,28/1,28/1,2007,Sarawak
Sg. Limbang,27/1,27/1,2007,Sarawak
Sg. Limbang,20/2,20/2,2007,Sarawak
Sg. Tuang,30/11,30/11,2007,Sarawak
Sg. Loba Batu Belat,30/11,30/11,2007,Sarawak
Sg. Sarawak,23/1,23/1,2007,Sarawak
Sg. Sarawak,29/1,29/1,2007,Sarawak
Sg. Kedah,16/10,27/10,2008,Kedah
Sg. Pendang,16/10,27/10,2008,Kedah
Sg. Pdg. Terap,18/10,25/10,2008,Kedah
Sg. Bkt. Pinang,18/10,25/10,2008,Kedah
Sg. Anak Bkt.,18/10,25/10,2008,Kedah
Sg. Nawa,18/10,25/10,2008,Kedah
Sg. Tg. Pauh,22/10,24/10,2008,Kedah
Sg. Bata,22/10,24/10,2008,Kedah
Sg. Alor Madi,22/10,24/10,2008,Kedah
Sg. Pertama,9/6,9/6,2008,PulauPinang
Sg. Pertama,29/9,29/9,2008,PulauPinang
Sg. Pertama,26/11,26/11,2008,PulauPinang
Sg. Derhaka,9/6,9/6,2008,PulauPinang
Sg. Mengkuang Titi,9/6,9/6,2008,PulauPinang
Sg. Permatang Rawa,18/8,18/8,2008,PulauPinang
Sg. Permatang Rawa,9/6,9/6,2008,PulauPinang
Sg. Kilang Ubi,9/6,9/6,2008,PulauPinang
Sg. Rambai,9/6,9/6,2008,PulauPinang
Sg. Rambai,29/9,29/9,2008,PulauPinang
Sg. Junjung,20/3,20/3,2008,PulauPinang
Sg. Junjung,9/6,9/6,2008,PulauPinang
Sg. Junjung,29/9,30/9,2008,PulauPinang
Sg. Machang Bubok,23/5,23/5,2008,PulauPinang
Sg. Jawi,9/10,9/10,2008,PulauPinang
Sg. Pinang,9/6,9/6,2008,PulauPinang
Sg. Pinang,18/8,18/8,2008,PulauPinang
Sg. Pinang,25/8,25/8,2008,PulauPinang
Sg. Pinang,30/9,30/9,2008,PulauPinang
Sg. Pinang,16/10,16/10,2008,PulauPinang
Sg. Jelutong,9/6,9/6,2008,PulauPinang
Sg. Jelutong,18/8,18/8,2008,PulauPinang
Sg. Jelutong,25/8,25/8,2008,PulauPinang
Sg. Jelutong,30/9,30/9,2008,PulauPinang
Sg. Jelutong,16/10,16/10,2008,PulauPinang
Pt. Konkrit (Georgetown),18/8,18/8,2008,PulauPinang
Prangin Canal,25/8,25/8,2008,PulauPinang
Prangin Canal,30/9,30/9,2008,PulauPinang
Sg. Air Putih,9/6,9/6,2008,PulauPinang
Sg. Air Putih,16/10,16/10,2008,PulauPinang
Sg. Air Hitam,9/6,9/6,2008,PulauPinang
Sg. Air Hitam,16/10,16/10,2008,PulauPinang
Sg. Dondang,9/6,9/6,2008,PulauPinang
Sg. Dondang,30/9,30/9,2008,PulauPinang
Sg. Dondang,16/10,16/10,2008,PulauPinang
Sg. Relau,9/6,9/6,2008,PulauPinang
Sg. Relau,30/9,30/9,2008,PulauPinang
Sg. Relau,16/10,16/10,2008,PulauPinang
Sg. Satu,6/9,6/9,2008,PulauPinang
Sg. Satu,30/9,30/9,2008,PulauPinang
Sg. Mas,6/9,6/9,2008,PulauPinang
Sg. Mas,30/9,30/9,2008,PulauPinang
Sg. Telok Kumbar,5/9,6/9,2008,PulauPinang
Sg. Kg. Masjid,5/9,6/9,2008,PulauPinang
Sg. Batas Besar,5/9,6/9,2008,PulauPinang
Sg. Bagan Lepas,5/9,6/9,2008,PulauPinang
Sg. Kg. SeroNo.k,5/9,6/9,2008,PulauPinang
Sg. Kg. Bukit,5/9,6/9,2008,PulauPinang
Sg. Ara,5/9,6/9,2008,PulauPinang
Sg. Keluang,5/9,6/9,2008,PulauPinang
Sg. Nibong Kecil,5/9,6/9,2008,PulauPinang
Sg. Relau,5/9,6/9,2008,PulauPinang
Sg. Pulau Betong,5/9,6/9,2008,PulauPinang
Sg. Burong,5/9,6/9,2008,PulauPinang
Sg. Kuala Jalan Bahru,5/9,6/9,2008,PulauPinang
Sg. Bagan Air Hitam,5/9,6/9,2008,PulauPinang
Sg. Korok,5/9,6/9,2008,PulauPinang
Sg. Air Putih,5/9,6/9,2008,PulauPinang
Sg. Kongsi,5/9,6/9,2008,PulauPinang
Sg. Batu Emas,5/9,6/9,2008,PulauPinang
Sg. Telok Bahang,5/9,6/9,2008,PulauPinang
Sg. Telok Awak,5/9,6/9,2008,PulauPinang
Sg. Kerian,9/10,9/10,2008,Perak
Sg. Kerian,20/10,21/10,2008,Perak
Sg. Beriah,9/5,9/5,9/6,9/7
Sg. Batu Teguh,17/7,17/7,2008,Perak
Sg. Larut,17/7,17/7,2008,Perak
Sg. Nyior,7/3,7/3,2008,Perak
Sg. Rotan,7/3,7/3,2008,Perak
Sg. Rotan,23/10,27/10,2008,Perak
Sg. Beruas,23/10,27/10,2008,Perak
Sg. Perak,26/3,28/3,9/8,4/9
Sg. Bidor,17/10,17/10,2008,Perak
Sg. Bidor,22/10,23/10,2008,Perak
Sg. Btg. Padang,22/10,22/10,2008,Perak
Sg. Sungkai Mati / Sg. Seluang / Sg. Sungkai Hidup,22/10,22/10,2008,Perak
Sg. Tupai / Sg. Larut,12/2,12/2,2008,Perak
Sg. Tupai / Sg. Larut,30/6,30/6,2008,Perak
Sg. Tupai,16/11,16/11,2008,Perak
Sg. Kinta / Sg. Raia / Sg. Pari,25/3,25/3,2008,Perak
Sg. Choh,30/3,30/3,2008,Perak
Sg. Kuang,30/3,30/3,2008,Perak
Sg. Kuang,10/7,10/7,2008,Perak
Sg. Cheroh,21/3,21/3,2008,Perak
Sg. Cheroh,6/7,6/7,2008,Perak
Sg. Pari,22/3,22/3,2008,Perak
Sg. Pari,18/4,18/4,2008,Perak
Sg. Trolak,23/3,23/3,2008,Perak
Sg. Trolak,30/3,30/3,2008,Perak
Sg. Selangor,25/11,25/11,2008,Selangor
Sg. Selangor /  Sg. Guntung,29/5,29/5,2008,Selangor
Sg. Selangor / Sg. Batang Kali,4/9,4/9,2008,Selangor
Sg. Bakul,1/3,1/3,2008,Selangor
Sg. Buloh,18/3,18/3,2008,Selangor
Sg. Buloh,11/10,11/10,2008,Selangor
Sg. Buloh,15/10,15/10,2008,Selangor
Sg. Buloh,24/3,24/3,2008,Selangor
Sg. Damansara,27/2,27/2,2008,Selangor
Sg. Damansara,4/6,4/6,2008,Selangor
Sg. Klang,27/2,27/2,2008,Selangor
Sg. Klang,11/3,11/3,2008,Selangor
Sg. Klang,14/3,14/3,2008,Selangor
Sg. Klang,3/6,3/6,2008,Selangor
Sg. Klang,26/5,26/5,2008,Selangor
Sg. Klang,25/8,25/8,2008,Selangor
Sg. Klang,16/10,16/10,2008,Selangor
Sg. Klang / Sg. Rasau,10/4,10/4,2008,Selangor
Sg. Klang / Sg. Rasau,8/7,8/7,2008,Selangor
Sg. Klang / Sg. Rasau,1/9,1/9,2008,Selangor
Sg. Klang / Sg. Rasau,7/10,7/10,2008,Selangor
Sg. Klang / Sg. Rasau,8/12,8/12,2008,Selangor
Sg. Klang  / Sg. Seputeh,27/8,27/8,2008,Selangor
Sg. Kayu Ara,11/10,11/10,2008,Selangor
Sg. Langat,13/3,17/3,2008,Selangor
Sg. Langat,23/3,24/3,2008,Selangor
Sg. Langat,23/4,24/4,2008,Selangor
Sg. Langat,8/6,8/6,2008,Selangor
Sg. Langat,29/6,29/6,2008,Selangor
Sg. Langat,16/10,16/10,2008,Selangor
Sg. Langat,21/10,22/10,2008,Selangor
Sg. Langat,27/11,27/11,2008,Selangor
Sg. Langat,8/12,9/12,2008,Selangor
Sg. Langat / Sg. Semenyih,29/11,29/11,2008,Selangor
Sg. Langat / Sg. Labu,28/11,28/11,2008,Selangor
Sg. Langat/ Sg. Merbau,25/2,25/2,2008,Selangor
Sg. Langat / Sg. Rinching / Sg. Bangi,22/3,22/3,2008,Selangor
Sg. Langat / Sg. Rinching / Sg. Bangi,23/11,23/11,2008,Selangor
Sg. Langat / Sg. Serai,15/10,15/10,2008,Selangor
Sg. Kelanang,5/9,5/9,2008,Selangor
Sg. Klang,27/2,27/2,2008,KualaLumpur
Sg. Klang,11/3,11/3,2008,KualaLumpur
Sg. Klang,14/3,14/3,2008,KualaLumpur
Sg. Klang,26/5,26/5,2008,KualaLumpur
Sg. Klang,3/6,3/6,2008,KualaLumpur
Sg. Klang,25/8,25/8,2008,KualaLumpur
Sg. Klang,16/10,16/10,2008,KualaLumpur
Sg. Temiang,16/4,16/4,2008,NegeriSembilan
Sg. Lenggeng,16/4,16/4,2008,NegeriSembilan
Sg. Btg. Penar,29/6,29/6,2008,NegeriSembilan
Sg. Paroi,29/6,29/6,2008,NegeriSembilan
Sg. Simin,19/10,19/10,2008,NegeriSembilan
Sg. Tampin,30/4,30/4,2008,Melaka
Sg. Tampin,27/11,27/11,2008,Melaka
Sg. Melaka,4/10,4/10,2008,Melaka
Sg. Melaka,8/12,8/12,2008,Melaka
Sg. Durian Tunggal,8/12,8/12,2008,Melaka
Sg. Merlimau,8/12,8/12,2008,Melaka
Sg. Rambai,8/12,8/12,2008,Melaka
Sg. Jelai,25/12,26/12,2008,Pahang
Sg. Dungun,9/12,9/12,2008,Terengganu
Sg. Dungun,11/12,12/12,2008,Terengganu
Sg. Terengganu,3/11,3/11,2008,Terengganu
Sg. Terengganu,20/11,20/11,2008,Terengganu
Sg. Terengganu,29/11,29/11,2008,Terengganu
Sg. Terengganu,30/11,30/11,2008,Terengganu
Sg. Terengganu,1/12,4/12,2008,Terengganu
Sg. Terengganu,6/12,6/12,2008,Terengganu
Sg. Nerus,3/11,3/11,2008,Terengganu
Sg. Nerus,20/11,20/11,2008,Terengganu
Sg. Nerus,29/11,29/11,2008,Terengganu
Sg. Nerus,1/12,4/12,2008,Terengganu
Sg. Nerus,6/12,6/12,2008,Terengganu
Sg. Berang,30/11,30/11,2008,Terengganu
Sg. Berang,6/12,6/12,2008,Terengganu
Sg. Setiu,29/11,29/11,2008,Terengganu
Sg. Setiu,6/12,6/12,2008,Terengganu
Sg. Tarom,29/11,29/11,2008,Terengganu
Sg. Tarom,6/12,6/12,2008,Terengganu
Sg. Calok,29/11,29/11,2008,Terengganu
Sg. Calok,6/12,6/12,2008,Terengganu
Sg. Besut,9/11,9/11,2008,Terengganu
Sg. Besut,16/12,16/12,2008,Terengganu
Sg. Jertih,9/11,9/11,2008,Terengganu
Sg. Jertih,16/12,16/12,2008,Terengganu
Sg. Semerak,12/2,12/2,2008,Terengganu
Sg. Semerak,21/11,23/11,2008,Terengganu
Sg. Rasau,2/1,4/1,2008,Terengganu
Sg. Rasau,12/2,12/2,2008,Terengganu
Sg. Rasau,4/11,7/11,2008,Terengganu
Sg. Rasau,21/11,23/11,2008,Terengganu
Sg. Belida,4/11,7/11,2008,Terengganu
Sg. Merkang,4/11,7/11,2008,Terengganu
Sg. Abal,2/1,4/1,2008,Terengganu
Sg. Abal,4/11,7/11,2008,Terengganu
Sg. Merbol,4/11,7/11,2008,Terengganu
Sg. Kelantan,28/11,11/12,2008,Terengganu
Sg. Kusial,29/11,29/11,2008,Terengganu
Sg. Sat,29/11,29/11,2008,Terengganu
Sg. Bagan,29/11,29/11,2008,Terengganu
Sg. Kemubu,29/11,29/11,2008,Terengganu
Sg. Golok,28/11,11/12,2008,Terengganu
Sg. Beliajong,3/1,4/1,2008,Sabah
Sg. Bongon,3/1,4/1,2008,Sabah
Sg. Bongon,16/2,18/2,2008,Sabah
Sg. Bandau,3/1,4/1,2008,Sabah
Sg. Tempasuk,16/2,16/2,2008,Sabah
Sg. Tempasuk,19/2,19/2,2008,Sabah
Sg. Tempasuk,24/4,24/4,2008,Sabah
Sg. Tempasuk,27/7,27/7,2008,Sabah
Sg. Kesapang,19/2,19/2,2008,Sabah
Sg. Padas,19/2,19/2,2008,Sabah
Sg. Padas,7/11,10/11,2008,Sabah
Btg. Lawas,26/10,26/10,2008,Sarawak
Btg. Terusan,26/10,27/10,2008,Sarawak
Btg. Limbang,25/10,30/10,2008,Sarawak
Sg. Berawan,25/10,27/10,2008,Sarawak
Sg. Baram/ Sg. Tinjar/ Sg. Tutoh,24/1,30/1,2008,Sarawak
Btg. Balingian,26/12,26/12,2008,Sarawak
Btg. Mukah,26/12,26/12,2008,Sarawak
Btg. Oya,26/12,26/12,2008,Sarawak
Sg. Bakir/ Sg. Simanggang,11/11,19/11,2008,Sarawak
